flipkart_author,flipkart_isbn10,flipkart_title,flipkart_ratings count,flipkart_price,flipkart_stars
  Pierce Angela,1681858711, Digital Photography for Beginners, ,349, 
  Adam Fisher,1538714493, Valley of Genius - The Uncensored History of Silicon Valley,7,429,4.6
  Deodhar Satish Y,8184001630, IIMA,1706,173,4.4
  Rajan Raghuram G.,9352770145, I Do What I Do,2416,436,4.6
  Pai Roopa,8129145197, So You Want to Know about Economics,172,118,4.4
  Raghuram Rajan,9350291738, FAULT LINES,438,311,4.6
  Sunder Gopal Mishra' and  ' Athar Imam Raza,9312146440, UGC NET Economics,91,351,3.8
  Arihant Experts,9313166046, 15 Sample Question Papers Economics Class 12 CBSE,103,139,4.6
  unknown,9388026586, 24 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995-2018),2348,325,4.5
  unknown,9312148389, All in One Economics Class 11th,157,315,4.2
  Arihant Expert,9313161451, CBSE Chapterwise Solved Papers Economics Class 12,242,159,4.6
  unknown,9312147307, General Knowledge 2019,8181,30,4.3
  Arihant Experts,9313166208, 15 Sample Question Papers Economic Class 11 CBSE,16,109,4.6
  Arihant Experts,9312144960, PGT Self Prepration Guide Economics Recruitment Examination,39,227,4.1
  Arihant Experts,9312149083, All In One Economics CBSE Class 12,226,195,4.6
  Sanjay Kumar,9350126672, Objective Economics,17,147,4.1
  Howard Marks,1473680379, Mastering The Market Cycle,16,699,4.5
  unknown,9352531299, Indian Economy,166,499,4.1
  Rachna Sagar Expart Panal,9387984532, EAD 15+1 CBSE Sample papers for class 12 Economics for 2019 examination,18,156,4.7
  Robert T. Kiyosaki,8186775811, Rich Dads Business School For People Who Like Helping People,1281,154,4.5
  unknown,9387504921, Oswaal CBSE Question Bank for Class 10 Social Science (Mar 2019 Exam),1539,303,4.4
  ROBIN SHARMA,9387944891, The 5 AM Club : Own Your Morning- Elevate Your Life,895,210,4.6
  Editorial Board,9387958477, Xam Idea Economic Class 12,35,365,4.6
  Marks Howard,9353022797, The most important thing,22,238,4.7
  Karl Marx,8175994142, CAPITAL (DAS KAPITAL),251,378,4.3
  unknown,9382616977, India After Gandhi - The History of the World's Largest Democracy - The History of the World's Largest Democracy,1117,477,4.6
  Pease Allan,8186775056, Questions are the Answers,1891,76,4.4
  H L Ahuja,9352533321, Advanced Economic Theory Microeconomic Analysis,50,699,4.5
  Kochhar Anup,9352015789, The Failure Project the Story of Man's Greatest Fear,8,287,4.6
  Editorial Board,9350571099, Children's Encyclopedia - The World of Knowledge,99,975,4.2
  DK,1409323498, The Animal Book,5,563,4.6
  Khan Azeem Ahmad,9380914199, Student's Encyclopedia of General Knowledge,859,131,4.4
 ,8179925919, The Theory Of Everything 01 Edition,18,190,4.2
  Mishra P. K.,8174827986, Objective Civil Engineering,169,123,3.8
  Hashmi A.H.,9381588813, Children'S Science Encyclopedia,6,695,4.3
  Fiona Johnson' and  ' Judy Tatchell' and  ' Paul Dowswell,1409522423, FIRST ENCYCLOPEDIA OF ANIMALS,6,449,3.8
  Bejan Daruwalla,9353024064, Horoscope 2019: Your Complete Forecast- Pisces, ,61, 
  Karmel Nair,9353020123, Tarot Predictions 2019,3,187,5
  National Geographic Kathryn Thornton,1426208928, National Geographic Answer Book: 10-001 Fast Facts About Our World,63,898,4.4
  Bejan Daruwalla,9353024226, Horoscope 2019: Your Complete Forecast- Scorpio,5,61,4.6
  Disha Experts,9386323567, Quick General Knowledge 2018 with Current Affairs update 2nd Edition,988,50,4.2
  Manhattan Prep,1506247598, 5 lb. Book of GRE Practice Problems, ,1799, 
  unknown,9313163802, Prep Guide to Bitsat 2019,84,490,4.6
  Arihant Expert,9313162539, NEET Prep Guide 2019,111,697,4.3
  A P Bhardwaj,9352864964, Legal Awareness and Legal Reasoning,236,412,4.5
  Staff of the Harvard Crimson,1250127556, 50 Successful Harvard Application Essays,5,299,4
  Maymi Fernando,1260142655, CISSP All-in-One Exam Guide- Eighth Edition, ,5201, 
  Robin Sharma,8179922308, Family Wisdom,280,200,4.4
  Vageria Arpit,9382665889, You are My Reason to Smile,902,101,4.3
  Pandey Ajay K.,9382665870, Her Last Wish,2431,101,4.5
  Peppa Pig,1409309061, Peppa Pig: My Daddy, ,155, 
  Sharma Robin S.,8184951914, Family Wisdom,21,175,4.3
  Paul Kalanithi,1847923674, When Breath Becomes Air,1873,332,4.6
  John Gray,8172235038, MEN ARE FROM MARS- WOMEN ARE FROM VENUS,2581,209,4.4
  Vasudev Sadhguru Jaggi,9386867508, Emotion & Relationships,1150,159,4.6
  Manu S. Pillai,9351776425, The Ivory Throne,371,468,4.6
  Kiyoski Robert T.,8183223753, Panakkara Thanthai Yezhai Thanthai,600,220,4.4
  J. K. Rowling,1408855658, Harry Potter and the Philosopher's Stone,5577,234,4.6
  Murkoff Heidi E.,1471147533, What to Expect When You're Expecting 5th Edition,149,510,4.7
  Diwekar Rujuta,8184001053, Don't Lose Your Mind- Lose Your Weight,3440,143,4.3
  J. K. Rowling,1408855658, Harry Potter and the Philosopher's Stone,5577,234,4.6
  Murkoff Heidi E.,1471147533, What to Expect When You're Expecting 5th Edition,149,510,4.7
  Diwekar Rujuta,8184001053, Don't Lose Your Mind- Lose Your Weight,3440,143,4.3
  B. K. S. Iyengar,8172235011, LIGHT ON YOGA,591,298,4.5
  J. K. Rowling,1408855666, Harry Potter and the Chamber of Secrets,3839,374,4.7
  Robin Sharma,8184951191, The Leader Who had no title,1344,160,4.4
  J. K. Rowling,1408855674, Harry Potter and the Prisoner of Azkaban,3250,314,4.6
  Faber Adele,1848126328, How to Talk So Kids Will Listen and Listen So Kids Will Talk,55,225,4.5
  Rachel Renee Russell,1471158039, DORK Diaries : Frenemies Forever,225,172,4.4
  Archer Jeffrey,1509867767, Tell Tale,313,255,4.5
  Tambe Balaji,9380571089, Ayurvediya Garbh Sanskar,1927,640,4.3
  Khurshed Batliwala (Author)' and  ' Dinesh Ghodke (Author),9352641345, Ready- Study- Go!: Smart Ways to Learn - Smart Ways to Learn,574,178,4.4
  J. K. Rowling,1408855690, Harry Potter and the Order of the Phoenix,2441,524,4.8
  Kundra Shilpa Shetty,8184007485, The Great Indian Diet,1874,161,4
  Jindal D. Prashant,9352774531, One minute superdad,15,176,3.9
  Shelja Sen,9352773268, Imagine No Child Left Invisible: Building Emotionally Safe Spaces for Inclusive & Creative Learning, ,280, 
  Kafka Franz,8172345135, Metamorphosis,466,94,4.4
  Dr. Murphy Joseph,8172345666, The Power of Your Subconscious Mind - Unlock Your Master Key to Success,631,169,4.5
  Geronimo Stilton,9386313774, The Ship of Secrets,647,374,4.5
  Geronimo Stilton,9352751183, The Dragon of Fortune - An Epic Kingdom of Fantasy Adventures,1132,510,4.6
  Stilton Geronimo,9385887815, Geronimo Stilton And The Kingdom Of Fantasy #8,626,360,4.5
  Kevin Missal,8193503309, Dharmayoddha Kalki - Avatar of Vishnu Book 1,453,188,4.5
  Stilton Geronimo,9351033147, The Search for Treasure,572,350,4.5
  Stilton Geronimo,9351035492, The Enchanted Charms,796,392,4.5
  unknown,9351031934, Geronimo Stilton the Journey Through Time,901,371,4.5
  Rowling J.K.,1408711702, Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay,245,434,4.8
  Madeline Miller,1526603330, Circe,148,388,4.5
  Neelakantan Anand,9386224445, The Rise of Sivagami,2442,162,4.4
  Tripathi Amish,9381626340, The Secret of the Nagas,6674,244,4.6
  Geronimo Stilton,9351037703, The Race Against Time,408,392,4.5
  Samantha Shannon,1526612860, The Priory of the Orange Tree, ,559, 
  Bond Ruskin,8129118920, Great Stories for Children,2909,118,4.4
  Bos Miriam,1509808361, The Jungle Book,5,186,4.8
  Rowling J. K.,8186775609, Harry Potter and the Philosopher's Stone,362,102,4.5
  Bond Ruskin,8171673406, The Blue Umbrella,2662,55,4.4
  Amish,9382618341, Oath of the Vayuputras,8408,282,4.4
  Mudagal. Vishwas,9353024668, The Last Avatar (Age of Kalki #1),15,186,4.4
  OM Books,8187107588, 365 Pancharantra Stories,242,396,4.4
  Dreamland Publications,8184516207, My Jumbo Book - NURSERY RHYMES,66,140,4.3
  Amish,9384030538, The Secret of the Nagas (Tamil),374,181,4.4
  Paulo Coelho,8172234988, ALCHEMIST,16859,209,4.6
  Sharma Savi,9386224399, This is Not Your Story,5133,125,4.3
  Dr. Joseph Murphy,8192910962, The Power of Your Subconscious Mind,4640,94,4.5
  Archer Jeffrey,1509867767, Tell Tale,313,255,4.5
  Paulo Coelho,8172235437, VERONIKA DECIDES TO DIE,1393,209,4.4
  Fitzgerald F. Scott,8172344562, The great Gatsby,654,142,4.4
  Khaled Hosseini,1408844443, A Thousand Splendid Suns,2540,309,4.5
  Pandey Ajay K.,9382665870, Her Last Wish,2431,101,4.5
  George Orwell,8192910903,1984,339,99,4.5
  Sanghi Ashwin,9386850648, Keepers of the Kalachakra,670,231,4.4
  Darwin Charles,8172344880, The Origin of Species,142,188,4.4
  Vineet Bajpai,9352685482, Harappa - Curse of the Blood River,614,132,4.4
  Amish,9385152149, Ram - Scion of Ikshvaku,6160,240,4.4
  Charlotte Bronte,8193387619, Jane Eyre : Jane Eyre,39,99,4.5
  Bhagat Chetan,8129142147, One Indian Girl,37246,112,4.2
  Austen Jane,8172344503, Pride & Prejudice,629,182,4.4
  Savi Sharma,9386036754, Everyone Has A Story,7731,125,4.3
  Bond Ruskin,8171673406, The Blue Umbrella,2662,55,4.4
  Jerome Karen A.,8172344430, Three Men in a Boat,106,140,4.3
  Shenoy Preeti,9380349300, Life is What You Make it,10007,86,4.1
  Tripathi Amish,9386224585, Sita,7022,226,4.6
  Sharma Robin S.,8179922324, Who Will Cry When You Die?,5611,115,4.4
  Paulo Coelho,8172235631, ELEVEN MINUTES,2201,209,4.4
  Tagore Rabindranath,9380816049, Selected Stories of Rabindranath Tagore,92,67,4.4
  Kafka Franz,8172345135, Metamorphosis,466,94,4.4
  J. K. Rowling,1408855666, Harry Potter and the Chamber of Secrets,3839,374,4.7
  Neelakantan Anand,9386224445, The Rise of Sivagami,2442,162,4.4
  Leo Tolstoy,8184950314, Greatest Short Stories of Leo Tolstoy,214,184,4.6
  Vageria Arpit,9382665889, You are My Reason to Smile,902,101,4.3
  Arpit Vageria,9387022080, Be My Perfect Ending,473,101,4.4
  Nagarkar Sudeep,9385990004, She Friend-Zoned My Love,1429,112,4.6
  Tiwari Anuj,8129149567, I TAGGED HER IN MY HEART,452,109,4.5
  Tripathi Amish,9381626340, The Secret of the Nagas,6674,244,4.6
  Chbosky Stephen,1451696191, The Perks of Being a Wallflower,1897,186,4.5
  Sidney Sheldon,8172234937, THE OTHER SIDE OF MIDNIGHT,386,209,4.5
  Farrukh Dhondy,9350290820, RUMI A NEW TRANSLATION,212,238,4.5
  Bond Ruskin,8129118920, Great Stories for Children,2909,118,4.4
  Shenoy Preeti,9386850427, A Hundred Little Flames,395,214,4.4
  Chitra Banerjee Divakaruni,9353025982, The Forest of Enchantments,15,373,4.9
  Shakespeare William,8175994193, Macbeth,180,117,4.4
  Bhagat Chetan,8129135515, The 3 Mistakes of My Life,4808,113,4.4
  Bhagat Chetan,8129135507, One Night at the Call Centre,2819,113,4.3
  Chand Munshi Prem,9350336618, 21 Anmol Kahaniya,55,87,4.5
  Leo Tolstoy,8175992832, War and Peace,49,319,4.4
  Doyle Christopher C.,9385724223, The Secret of the Druids,182,209,4.3
  O'Brien Terry,8129131498, Selected Stories by Leo Tolstoy,9,126,4.4
  Rowling J.K.,1408711702, Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay,245,434,4.8
  Hill Napoleon,9350330954, Think and Grow Rich,52,101,4.3
  Louisa May Alcott,8175992905, Little Women,22,190,4.4
  Shenoy Preeti,9386036452, It's All in the Planets,732,196,4.3
  Amish,9382618341, Oath of the Vayuputras,8408,282,4.4
  Stoker Bram,8172344775, Dracula,218,143,4.3
  Gupta Ruchir,9382665072, Mistress Of The Throne - The Mughal Intrigues,140,150,4.2
  Sharma Devanshi,9382665846, No Matter What I Do - I End Up Falling for You,475,100,4.2
  Danielle Steel,1509881336, The Right Time,57,226,4.5
  Sanghi Ashwin,9381626812, Chanakya's Chant,1849,244,4.3
  Neelakantan Anand,9386224607, Shivagami Kadha Bahubali Bhagam 1 - The Rise Of Sivagami Telugu,137,197,4.1
  Murugan Perumal,9386850494, Poonachi Or The Story of a Black Goat,224,288,4.7
  Narayan R. K.,8185986002, Swami and Friends,1423,112,4.4
  Dhamija Vish,9380349246, Nothing Lasts Forever,421,105,4.3
  Gates Tom,9351033015, Everything's Amazing (Sort of),166,221,4.6
  Mukherjee Pranab,8129135744, The Dramatic Decade The Indira Gandhi Years,317,338,4.4
  Sidney Sheldon,8172234864, BLOODLINE,362,280,4.5
  Sidney Sheldon,8172234902, TELL ME YOUR DREAMS,902,209,4.5
  Byrne Rhonda,1471172392, The Secret,1395,373,4.2
  Kevin Missal,8193503309, Dharmayoddha Kalki - Avatar of Vishnu Book 1,453,188,4.5
 ,1879505622, In the Blink of an Eye,65,679,4.6
  Ray Satyajit,8125015655, Our Films- Their Films,77,435,4.7
  Ray Satyajit,9351360016, Deep Focus,168,198,4.6
  Deep Trivedi,9384850098, I am The Mind,577,199,4.3
  Satyajit Ray,9351779335, The PATHER PANCHALI SKETCHBOOK.,75,959,4.9
  Rowling J.K.,1408711702, Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay,245,434,4.8
  Binay Karna,9384761540, General Knowledge - lucent gk book,6418,180,4.4
  unknown,9312147307, General Knowledge 2019,8181,30,4.3
  Arihant Experts,9313169886, Current Affairs Yearly 2019,9,124,4.7
  Sunil Nain,9387351416, General Knowledge Aptitude & Logical Thinking for AIIMS - Includes 10 Mock Test Papers,628,116,4.3
  Khan Azeem Ahmad,9380914199, Student's Encyclopedia of General Knowledge,859,131,4.4
  Disha Experts,9386323567, Quick General Knowledge 2018 with Current Affairs update 2nd Edition,988,50,4.2
  unknown,9384761141, Lucent's General Science,1903,183,4.2
 ,8179925919, The Theory Of Everything 01 Edition,18,190,4.2
  Bakshi S. P.,9351768449, Objective General English,10558,160,4.3
  Disha Experts,9387421007, Disha Children's Yearbook 2018 - General Knowledge Fundamentals and Current Affairs - Disha,42,147,4.3
  Carnegie Dale,8175993952, How To Stop Worrying And Start Living,93,125,4.4
  unknown,9311121266, Objective Computer Awareness,1936,78,4.3
  unknown,9386629771, AIIMS General Knowledge with Logical Thinking,305,123,4.2
  Editorial Board,9350571099, Children's Encyclopedia - The World of Knowledge,99,975,4.2
  Aggarwal R. S.,9352534026, Quantitative Aptitude for Competitive Examinations 2017 Edition,15290,450,4.4
  unknown,9350947900, Know Your State - Himachal Pradesh,60,176,4.3
  unknown,9388026586, 24 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995-2018),2348,325,4.5
  Disha Experts,9388240944, Banking Awareness for SBI & IBPS Bank Clerk/ PO/ RRB/ RBI exams 3rd Edition,34,158,4.5
  Madaan K.V.S,9332551731, CBSE UGC NET/SET/JRF,2001,249,4.4
  Disha Experts,9387421627, CDS 12 Years Topic-wise Solved Papers Mathematics- English & General Knowledge (2007-2018) - 3rd Edition,92,403,4
  Sanjeev Kumar,9384761168, Samany Hindi,327,150,4.2
  Gandhi M. K.,8172343116, The Story of My Experiments with Truth,239,166,4.5
  C. L. Khanna,9350132389, Madhya Pradesh General Knowledge: At a Glance,15,80,3.6
  Carnegie Dale,8192910997, How To Win Friends & Influence People - The First and Still the Best Book of Its kind on Self-Help,231,130,4.5
  Einstein Albert,9380914229, Relativity,1121,175,4.5
  Hedges Burke,8182744466, Copycat Marketing 101,548,125,4.3
  Sun Tzu,8184950888, Art of War,236,210,4.3
  Diwekar Rujuta,8184001053, Don't Lose Your Mind- Lose Your Weight,3440,143,4.3
  Om Swami,9351772624, The Wellness Sense,233,178,4.5
  Diwekar Rujuta,8193237234, Indian Superfoods: Change the Way You Eat,494,225,4.3
  Isha Foundation,9351363783, A Taste of Well-Being: Sadhgurus Insights for Your Gastronomics,298,172,4.5
  Kundra Shilpa Shetty,8184007485, The Great Indian Diet,1874,161,4
  Dr. Murphy Joseph,8172345666, The Power of Your Subconscious Mind - Unlock Your Master Key to Success,631,169,4.5
  Sharma Robin S.,8179922324, Who Will Cry When You Die?,5611,115,4.4
  Hay Louise L.,8190565583, You Can Heal Your Life,1450,252,4.4
  D. Patel Kamlesh,9386850567, The Heartfulness Way - Heart - Based Meditations for Spiritual Transformation,479,189,4.7
  ROBIN SHARMA,9387944891, The 5 AM Club : Own Your Morning- Elevate Your Life,895,210,4.6
  Paul Kalanithi,1847923674, When Breath Becomes Air,1873,332,4.6
  Makhija Pooja,9352644875, Eat Delete Junior,39,176,4.1
  Chiplunkar Suman K.,8190587447, Mudras & Health Perspectives,69,285,4.6
  Vasudev Sadhguru Jaggi,9386867508, Emotion & Relationships,1150,159,4.6
  Shenoy Preeti,9380349300, Life is What You Make it,10007,86,4.1
  Esselstyn Caldwell B.,1583333002, Prevent and Reverse Heart Disease,4,651,4.8
  Sharath Jois,8193876784, Ageless,8,193,5
  B. K. S. Iyengar,8172235011, LIGHT ON YOGA,591,298,4.5
  Singh Vishram,8131252914, Textbook of Anatomy Head- Neck- and Brain; Volume III,8,631,5
  Sanghi Ashwin,9384030570, 13 Steps to Bloody Good Luck,1457,114,4.1
  Khera Shiv,9382951717, You Can Win,6129,232,4.5
  Lipton Bruce H.,9380480016, The Biology of Belief - Unleashing the Power of Consciousness- Matter & Miracles,646,210,4.3
  Karan Thapar,9352779843, Devil's Advocate,108,417,4.6
  B. K. S. Iyengar,8172235410, LIGHT ON PRANAYAMA,153,248,4.5
  Robert T. Kiyosaki,8186775811, Rich Dads Business School For People Who Like Helping People,1281,154,4.5
  Byrne Rhonda,1847370292, The Secret,6680,498,4.5
  John Gray,8172235038, MEN ARE FROM MARS- WOMEN ARE FROM VENUS,2581,209,4.4
  Halan Monika,9352779398, Lets Talk Money:,138,248,4.6
  Tolle Eckhart,8190105914, The Power of Now,760,248,4.5
  Singh Vishram,8131244644, Textbook of Clinical Neuroanatomy,33,477,4.3
  Khurshed Batliwala (Author)' and  ' Dinesh Ghodke (Author),9352641345, Ready- Study- Go!: Smart Ways to Learn - Smart Ways to Learn,574,178,4.4
  Sadhguru' and  ' Arundhathi Subramaniam,9352643925, Adiyogi,1377,178,4.6
  Aditi Singhal' and  ' Sudhir Singhal,8184005210, How to Memorize Anything - The Ultimate Handbook to Explore and Improve Your Memory,598,255,4.3
  Kenneth Blanchard,8172234996, ONE MINUTE MANAGER,1087,118,4.4
  Dr. Bichu Mandar V.,8179918564, New Age Parenting and Child Health Handbook - New Age Parenting and Child - Health Handbook,3,395,4.7
  Dahiya Poonam Dalal,9352603451, Ancient and Medieval India,3498,380,4.6
  Chandra Satish,8125032266, History of Medieval India,2831,275,4.3
  Singh Upinder,8131716775, History of Ancient and Early Medieval India,890,483,4.5
  Krishna Reddy,9387067556, World History - For Civil Services Examination First Edition,821,262,4.3
  Harari Yuval Noah,1784703931, Homo Deus,338,270,4.5
  unknown,9382616977, India After Gandhi - The History of the World's Largest Democracy - The History of the World's Largest Democracy,1117,477,4.6
  unknown,9353160235, Modern Indian History With A Primer On Post Independence Ind - With a Primer On Post Independence India,497,530,4.6
 ,8179925919, The Theory Of Everything 01 Edition,18,190,4.2
  Darwin Charles,8172344880, The Origin of Species,142,188,4.4
  Subramaniam Arjun,9351777499, India's Wars,113,473,4.6
  Gandhi M. K.,8172343116, The Story of My Experiments with Truth,239,166,4.5
  Satish Chandra,8125032487, Madhyakaleen Bharat Rajniti- Samaj Aur Sanskr,546,202,4.3
  Bar-Zohar Michael,8184958455, Mossad,560,280,4.5
  Vineet Bajpai,9352685482, Harappa - Curse of the Blood River,614,132,4.4
  Shashi Tharoor,9386021102, WHY I AM A HINDU,2010,324,4.4
  Goswami Priyam,8125046534, The History of Assam from Yandabo to Partition,231,260,4.4
  RPH Editorial Board,9350128268, University of Delhi : MA History Entrance Exam Guide,86,199,3.9
  Nitin Singhania,9387067548, Indian Art and Culture - For Civil Services Preliminary and Main Examinations Second Edition,5444,390,4.6
  Chandra Vipin,8125036814, Adhunik Bharat Ka Itihas,2029,211,4.3
  Shar Ram Sharan,8125026517, Prarambhik Bharat KA Parichay (Hindi),337,202,4.3
  Ahir Rajiv,8179306127, A Brief History of Modern India,2738,225,4.3
  Tiwari Arun,8173711461, Wings of Fire,16362,265,4.6
  Mukherjee Subrata,8120343891, A History Of Political Thought,229,316,4.3
  Kosambi Damodar Dharmanand,9386042215, An Introduction to the Study of Indian History,17,342,4.2
  unknown,9387067718, Bharatiya Kala Evam Sanskriti,1046,370,4.5
  Mahajan V. D.,8121903645, History of Medieval India,91,394,4.1
  Rajiv Ahir,8179306895, Adhunik Bharat KA Itihas,494,260,4.3
  Amish,9385152149, Ram - Scion of Ikshvaku,6160,240,4.4
  Majid Husain,9352606221, Geography of India Seventh Edition,3645,498,4.5
  Isha Foundation,9351363783, A Taste of Well-Being: Sadhgurus Insights for Your Gastronomics,298,172,4.5
  Shivesh Bhatia' and  ' Pooja Dhingra,9353023114, Bake With Shivesh, ,549, 
  Cameron W. Bruce,1509855947, A Dog's Way Home,52,319,4.6
  Pandey D. C.,9313163292, 40 Years' Chapterwise Topicwise Solved Papers (2018-1979) Iit Jee Physics,1603,237,4.5
  Gandhi M. K.,8172343116, The Story of My Experiments with Truth,239,166,4.5
  Singh Batth Amarjeet,8175994029, Home Gardeners' Guide Indian Garden Flowers,4,387,4
  Dreamland Publications,8184511213, World Map,48,130,4.4
  Stoker Bram,8172344775, Dracula,218,143,4.3
  Stephen King,1444707868, It,763,216,4.6
  Dr. Murphy Joseph,8172345666, The Power of Your Subconscious Mind - Unlock Your Master Key to Success,631,169,4.5
  Kevin Missal,8193503309, Dharmayoddha Kalki - Avatar of Vishnu Book 1,453,188,4.5
  Dhamija Vish,9380349246, Nothing Lasts Forever,421,105,4.3
  Ruskin Bond,9384067474, Upon an Old Wall Dreaming More of My Favourite Stories and Sketches,5,240,4.4
  Kumar Hari,9382665307, That Frequent Visitor - Every Face has a Darker Side,20,90,4
 ,1409300498, Baby Touch: Peekaboo,356,319,4.4
  Bond Ruskin,8129112558, The Ruskin Bond Horror Omnibus,59,238,4.2
  Trideb Kumar Chatterjee,8183741916, Bhoy Rohosyo 101,27,440,4.5
  King Stephen,1473691524, Elevation,6,309,5
  Noah Trevor,1473635306, Born A Crime,224,299,4.7
  Adams Douglas,1509852794, The Hitchhiker's Guide to the Galaxy Omnibus - A Trilogy of Five,82,532,4.5
  Om Swami,9351772624, The Wellness Sense,233,178,4.5
  Rowling J.K.,1408711702, Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay,245,434,4.8
  Savi Sharma,9386036754, Everyone Has A Story,7731,125,4.3
  Paramahansa Yogananda,8190256203, Autobiography of a Yogi (Complete Edition),653,195,4.6
  Pattanaik Devdutt,8129137704, My Gita,2702,170,4.5
  Pichon L.,9351033007, Tom Gates,238,176,4.5
  Diwekar Rujuta,8193237234, Indian Superfoods: Change the Way You Eat,494,225,4.3
  Vyas Satya,9386224194, Dilli Darbaar,172,107,4.4
  Randall Munroe,1848549563, What If?,238,299,4.5
  Jerome Karen A.,8172344430, Three Men in a Boat,106,140,4.3
  Khurshed Batliwala (Author)' and  ' Dinesh Ghodke (Author),9352641345, Ready- Study- Go!: Smart Ways to Learn - Smart Ways to Learn,574,178,4.4
  Thindiath Rajani,9350853736, Suppandi 3,175,76,4.4
  Gates Tom,9351033015, Everything's Amazing (Sort of),166,221,4.6
  Gates Tom,9351033031, Tom Gates Book #5,174,194,4.5
  Kundra Shilpa Shetty,8184007485, The Great Indian Diet,1874,161,4
  Grossman David,1784704229, A Horse Walks into a Bar - (Winner of the International Man Booker Prize 2017,146,266,4.4
  Pichon L.,9351033023, Tom Gates,176,221,4.5
  Bond Ruskin,9386338904, Lone Fox Dancing - My Autobiography,135,450,4.7
  Russell Rachel Renee,1471168018, Dork Diaries: Crush Catastrophe - Tales From a not - so - fabulous Life,169,191,4.7
  Shenoy Preeti,9386850427, A Hundred Little Flames,395,214,4.4
  Srilal Sukla,8126713968, Raag Darbari,474,227,4.6
  Zaidi S. Hussain,9352779290, Eleventh Hour by,88,169,4.5
  Salil Desai,8175994258, 3 and a Half Murders - An Inspector Saralkar Mystery,16,188,4.5
  Donald J. Trump' and  ' Tony Schwartz,1784758248, Trump - The Art of the Deal,63,320,4.4
  Greene Robert,1861974043, The Concise 48 Laws Of Power,367,279,4.3
  Narayan R. K.,8185986010, The Bachelor of Arts,158,117,4.3
  Simon Sebag Montefiore,1780220251, Jerusalem: The Biography,66,352,4.4
  Stilton Geronimo,9385887351, Geronimo Stilton #63,108,176,4.5
  Yuval Noah Harari,1910701882, Homo Deus - A Brief History of Tomorrow,127,573,4.6
  Donald J. Trump' and  ' Tony Schwartz,1784758248, Trump - The Art of the Deal,63,320,4.4
  Ajit Harisinghani,8175992948, One Life To Ride,47,188,4.4
  Rishi Piparaiya,9352777670, Job Be Damned,7,176,4.7
  Shenoy Preeti,9380349300, Life is What You Make it,10007,86,4.1
  Bhagat Chetan,8129142147, One Indian Girl,37246,112,4.2
  Sharma Savi,9386224399, This is Not Your Story,5133,125,4.3
  Diwekar Rujuta,8193237234, Indian Superfoods: Change the Way You Eat,494,225,4.3
  Nitin Singhania,9387067548, Indian Art and Culture - For Civil Services Preliminary and Main Examinations Second Edition,5444,390,4.6
  Kundra Shilpa Shetty,8184007485, The Great Indian Diet,1874,161,4
  Tripathi Amish,9381626340, The Secret of the Nagas,6674,244,4.6
  unknown,9312148885, Indian Navy Secondary SSR Guide 2018,556,138,4.2
  Chatterjee Satishchandra,8129111950, An Introducation to Indian Philosophy,759,118,4.5
  Pandey Ajay K.,9382665870, Her Last Wish,2431,101,4.5
  unknown,9312148907, Indian Coast Guard Navik General Duty Guide 2018,206,215,4
  Vageria Arpit,9382665889, You are My Reason to Smile,902,101,4.3
  M. Laxmikanth,9385880160, Indian Polity (Telugu Version),535,497,4.3
  Savi Sharma,9386036754, Everyone Has A Story,7731,125,4.3
  Tripathi Amish,9386224585, Sita,7022,226,4.6
  unknown,9388026586, 24 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995-2018),2348,325,4.5
  Laxmikanth M.,9339220838, Objective Indian Polity,2002,276,4.3
  Baskaran Theodore S.,9384067571, The Book of Indian Dogs,53,240,3.9
  Menon Vivek,9350097605, Indian Mammals,324,777,4.6
  Bhagat Chetan,8129135507, One Night at the Call Centre,2819,113,4.3
  unknown,9311126691, Indian Air Force Airman Group 'Y' (Non-Technical Trades),551,156,4.1
  Arpit Vageria,9387022080, Be My Perfect Ending,473,101,4.4
  Laxmikanth M.,9352603869, Bharat Ki Rajvyavastha,3230,385,4.5
  Shenoy Preeti,9384030740, It Happens for a Reason,1016,184,4.3
  Dahiya Poonam Dalal,9352603451, Ancient and Medieval India,3498,380,4.6
  Arihant Experts,9311126780, Bhartiya Nausena Senior Secondary (SSR) Bharti Pariksha,226,198,4.1
  Majid Husain,9352606221, Geography of India Seventh Edition,3645,498,4.5
  Tiwari Arun,8173711461, Wings of Fire,16362,265,4.6
  Vyas Satya,9381394997, Banaras Talkies,298,125,4.4
  Tambe Balaji,9380571089, Ayurvediya Garbh Sanskar,1927,640,4.3
  unknown,9353160235, Modern Indian History With A Primer On Post Independence Ind - With a Primer On Post Independence India,497,530,4.6
  Bhagat Chetan,8129135728, Half Girlfriend,48324,106,4.1
  Menon V.P.,8125054510, Integration of the Indian States,66,822,4.8
  Shashi Tharoor,9386021102, WHY I AM A HINDU,2010,324,4.4
  unknown,9387067718, Bharatiya Kala Evam Sanskriti,1046,370,4.5
